,housing_median_age,median_income,median_house_value,ocean_proximity__1h_ocean,ocean_proximity_inland,ocean_proximity_island,ocean_proximity_near_bay,ocean_proximity_near_ocean,bedroom_per_house,total_rooms_per_house,population_per_house,coordinates
0,41.0,8.3252,452600.0,0,0,0,1,0,0.14659090909090908,6.984126984126984,2.5555555555555554,-3.226768743400211
1,21.0,8.3014,358500.0,0,0,0,1,0,0.15579659106916466,6.238137082601054,2.109841827768014,-3.2282091917591127
2,52.0,7.2574,352100.0,0,0,0,1,0,0.12951601908657123,8.288135593220339,2.8022598870056497,-3.229590488771466
3,52.0,5.6431,341300.0,0,0,0,1,0,0.18445839874411302,5.8173515981735155,2.547945205479452,-3.2298546895640685
4,52.0,3.8462,342200.0,0,0,0,1,0,0.1720958819913952,6.281853281853282,2.1814671814671813,-3.2298546895640685
5,52.0,4.0368,269700.0,0,0,0,1,0,0.23177366702937977,4.761658031088083,2.139896373056995,-3.2298546895640685
6,52.0,3.6591,299200.0,0,0,0,1,0,0.19289940828402366,4.9319066147859925,2.1284046692607004,-3.230708245243129
7,52.0,3.12,241400.0,0,0,0,1,0,0.22132731958762886,4.797527047913447,1.7882534775888717,-3.230708245243129
8,42.0,2.0804,226700.0,0,0,0,1,0,0.2602739726027397,4.294117647058823,2.026890756302521,-3.230972515856237
9,52.0,3.6912,261100.0,0,0,0,1,0,0.1992110453648915,4.970588235294118,2.172268907563025,-3.230708245243129
10,52.0,3.2031,281500.0,0,0,0,1,0,0.19709355131698456,5.477611940298507,2.263681592039801,-3.230118890356671
11,52.0,3.2705,241800.0,0,0,0,1,0,0.2146731373108764,4.772479564032698,2.0490463215258856,-3.230118890356671
12,52.0,3.075,213500.0,0,0,0,1,0,0.1902850260939382,5.322649572649572,2.3461538461538463,-3.230118890356671
13,52.0,2.6736,191300.0,0,0,0,1,0,0.2744252873563218,4.0,1.9827586206896552,-3.230972515856237
14,52.0,1.9167,159200.0,0,0,0,1,0,0.23685206205069997,4.262903225806451,1.9548387096774194,-3.230118890356671
15,50.0,2.125,140000.0,0,0,0,1,0,0.2526785714285714,4.242424242424242,2.640151515151515,-3.230118890356671
16,52.0,2.775,152500.0,0,0,0,1,0,0.17650050864699898,5.9395770392749245,2.395770392749245,-3.2303830911492732
17,52.0,2.1202,155500.0,0,0,0,1,0,0.23859934853420195,4.052805280528053,2.1386138613861387,-3.2303830911492732
18,50.0,1.9911,158700.0,0,0,0,1,0,0.20321572130415363,5.343675417661098,2.3627684964200477,-3.230972515856237
19,52.0,2.6033,162900.0,0,0,0,1,0,0.19827012641383898,5.465454545454546,2.5090909090909093,-3.2312367864693443
20,40.0,1.3578,147500.0,0,0,0,1,0,0.24500665778961384,4.524096385542169,2.463855421686747,-3.2303830911492732
21,42.0,1.7135,159800.0,0,0,0,1,0,0.2239170225747407,4.478142076502732,2.5382513661202184,-3.2303830911492732
22,52.0,1.725,113900.0,0,0,0,1,0,0.22208538587848933,5.096234309623431,2.1234309623430963,-3.2312367864693443
23,52.0,2.1806,99700.0,0,0,0,1,0,0.19964454976303317,5.193846153846154,2.624615384615385,-3.2312367864693443
24,52.0,2.6,132600.0,0,0,0,1,0,0.19649280575539568,5.270142180094787,2.3838862559241707,-3.2312367864693443
25,41.0,2.4038,107500.0,0,0,0,1,0,0.22990654205607478,4.495798319327731,2.6638655462184873,-3.230647291941876
26,49.0,2.4597,93800.0,0,0,0,1,0,0.215929203539823,4.7280334728033475,2.5397489539748954,-3.230647291941876
27,52.0,1.808,105500.0,0,0,0,1,0,0.22181243414120128,4.7808564231738035,2.7758186397984885,-3.230647291941876
28,50.0,1.6424,108900.0,0,0,0,1,0,0.23631123919308358,4.40169133192389,2.3911205073995774,-3.2315010570824523
29,52.0,1.6875,132000.0,0,0,0,1,0,0.2194787379972565,4.703225806451613,2.5483870967741935,-3.2315010570824523
30,49.0,1.9274,122300.0,0,0,0,1,0,0.23329853862212943,5.068783068783069,2.2830687830687832,-3.2315010570824523
31,52.0,1.9615,115200.0,0,0,0,1,0,0.22340919647004182,4.882086167800454,2.6485260770975056,-3.2315010570824523
32,48.0,1.7969,110400.0,0,0,0,1,0,0.21279916753381894,5.737313432835821,3.062686567164179,-3.2312367864693443
33,49.0,1.375,104900.0,0,0,0,1,0,0.22114803625377644,5.0303951367781155,2.291793313069909,-3.232090933121861
34,51.0,2.7303,109700.0,0,0,0,1,0,0.2153846153846154,4.972014925373134,2.3470149253731343,-3.232090933121861
35,49.0,1.4861,97200.0,0,0,0,1,0,0.23209876543209876,4.6022727272727275,2.159090909090909,-3.232090933121861
36,48.0,1.0972,104500.0,0,0,0,1,0,0.24026696329254726,4.807486631016043,2.6390374331550803,-3.232090933121861
37,52.0,1.4103,103900.0,0,0,0,1,0,0.25810721376571805,3.7493796526054592,2.235732009925558,-3.232355273592387
38,52.0,3.48,191400.0,0,0,0,1,0,0.22448979591836735,4.757281553398058,2.2297734627831716,-3.231826592651335
39,52.0,2.5898,176000.0,0,0,0,1,0,0.29399671052631576,3.4942528735632186,1.978448275862069,-3.231826592651335
40,52.0,2.0978,155400.0,0,0,0,1,0,0.25165165165165165,4.215189873417722,2.3949367088607594,-3.231826592651335
41,51.0,1.2852,150000.0,0,0,0,1,0,0.33226495726495725,3.7590361445783134,2.076305220883534,-3.231826592651335
42,49.0,1.025,118800.0,0,0,0,1,0,0.28330995792426367,3.7724867724867726,2.4444444444444446,-3.230972515856237
43,52.0,3.9643,188800.0,0,0,0,1,0,0.21263157894736842,4.797979797979798,2.3585858585858586,-3.230972515856237
44,52.0,3.0125,184400.0,0,0,0,1,0,0.21552321552321552,4.941780821917808,2.26027397260274,-3.231826592651335
45,52.0,2.6768,182300.0,0,0,0,1,0,0.2536231884057971,4.335078534031414,1.8795811518324608,-3.231826592651335
46,50.0,2.026,142500.0,0,0,0,1,0,0.2862222222222222,3.700657894736842,2.026315789473684,-3.231826592651335
47,43.0,1.7348,137500.0,0,0,0,1,0,0.3098311817279047,3.9802371541501977,2.205533596837945,-3.2329455314648334
48,40.0,0.9506,187500.0,0,0,0,1,0,0.3125,3.9,2.64375,-3.2326811210999473
49,40.0,1.775,112500.0,0,0,0,1,0,0.3964059196617336,2.6875,1.9886363636363635,-3.2329455314648334
50,21.0,0.9218,171900.0,0,0,0,1,0,0.5055803571428571,2.045662100456621,1.678082191780822,-3.2329455314648334
51,43.0,1.5045,93800.0,0,0,0,1,0,0.24411134903640258,4.58968058968059,2.6068796068796067,-3.2329455314648334
52,41.0,1.1108,97500.0,0,0,0,1,0,0.26482458863706926,4.473611111111111,2.720833333333333,-3.2329455314648334
53,52.0,1.2475,104200.0,0,0,0,1,0,0.27975460122699386,4.075,2.905,-3.2329455314648334
54,52.0,1.6098,87500.0,0,0,0,1,0,0.20085470085470086,5.021459227467811,3.0085836909871246,-3.2332099418297195
55,52.0,1.4113,83100.0,0,0,0,1,0,0.2571428571428571,4.295454545454546,2.618181818181818,-3.2332099418297195
56,52.0,1.5057,87500.0,0,0,0,1,0,0.23263327948303716,4.77992277992278,2.4015444015444016,-3.2332099418297195
57,52.0,0.8172,85300.0,0,0,0,1,0,0.22498321020819342,6.102459016393443,2.9836065573770494,-3.2332099418297195
58,52.0,1.2171,80300.0,0,0,0,1,0,0.24585436193222782,4.5625,3.5328947368421053,-3.2332099418297195
59,2.0,2.5625,60000.0,0,0,0,1,0,0.2721518987341772,2.7719298245614037,1.6491228070175439,-3.233474352194606
60,52.0,3.3929,75700.0,0,0,0,1,0,0.18822479928635147,5.994652406417113,2.962566844919786,-3.2326196140629135
61,49.0,6.1183,75000.0,0,0,0,1,0,0.21481481481481482,5.869565217391305,3.739130434782609,-3.233474352194606
62,50.0,0.9011,86100.0,0,0,0,1,0,0.25,6.229508196721311,3.0901639344262297,-3.2343295424490877
63,52.0,1.191,76100.0,0,0,0,1,0,0.19362745098039216,7.69811320754717,3.2767295597484276,-3.234594022745305
64,48.0,2.5938,73500.0,0,0,0,1,0,0.21980676328502416,6.225563909774436,2.9473684210526314,-3.234594022745305
65,52.0,1.1667,78400.0,0,0,0,1,0,0.20693069306930692,5.401069518716578,3.229946524064171,-3.234594022745305
66,48.0,0.8056,84400.0,0,0,0,1,0,0.24329896907216494,4.382530120481928,2.3734939759036147,-3.234594022745305
67,52.0,2.6094,81300.0,0,0,0,1,0,0.23758519961051608,6.98639455782313,3.3469387755102042,-3.2351851851851854
68,52.0,1.8516,85000.0,0,0,0,1,0,0.19055944055944055,6.975609756097561,3.341463414634146,-3.234594022745305
69,46.0,0.9802,129200.0,0,0,0,1,0,0.22991788646911818,4.584288052373159,2.983633387888707,-3.2343295424490877
70,26.0,1.7719,82500.0,0,0,0,1,0,0.19791666666666666,6.047244094488189,3.0866141732283463,-3.2343295424490877
